Filename	IOU	F1	Score
3417.png	0.7266	0.8416	78.41
3543.png	0.7196	0.8369	77.83
3569.png	0.5520	0.7114	63.17
3695.png	0.6492	0.7873	71.82
3735.png	0.5976	0.7481	67.29
3953.png	0.3362	0.5033	41.98
4307.png	0.5888	0.7412	66.50
4575.png	0.7072	0.8285	76.78
4689.png	0.8618	0.9258	89.38
4838.png	0.6434	0.7830	71.32
4970.png	0.7128	0.8323	77.25
5174.png	0.8200	0.9011	86.05
5302.png	0.3148	0.4789	39.69
5328.png	0.8802	0.9363	90.83
6186.png	0.4658	0.6355	55.07
6304.png	0.7458	0.8544	80.01
6311.png	0.5629	0.7203	64.16
6414.png	0.5702	0.7263	64.83
6422.png	0.6838	0.8122	74.80
6549.png	0.1340	0.2363	18.52
6597.png	0.3748	0.5452	46.00
6654.png	0.7864	0.8804	83.34
0213.png	0.6780	0.8081	74.30
0225.png	0.5542	0.7132	63.37
0364.png	0.6172	0.7633	69.02
0461.png	0.5456	0.7060	62.58
0474.png	0.4435	0.6144	52.89
0788.png	0.4323	0.6036	51.80
0822.png	0.6592	0.7946	72.69
0847.png	0.5974	0.7479	67.26
0913.png	0.1413	0.2476	19.44
0939.png	0.0319	0.0619	4.69
0963.png	0.0000	0.0000	0.00
1117.png	0.0000	0.0000	0.00
1134.png	0.0000	0.0000	0.00
1395.png	0.0000	0.0000	0.00
1471.png	0.0000	0.0000	0.00
1490.png	0.0000	0.0000	0.00
1525.png	0.0000	0.0000	0.00
1638.png	0.0000	0.0000	0.00
1648.png	0.0000	0.0000	0.00
1683.png	0.0000	0.0000	0.00
1746.png	0.0000	0.0000	0.00
1818.png	0.0000	0.0000	0.00
2614.png	0.4769	0.6458	56.13
2755.png	0.7524	0.8587	80.56
2844.png	0.7091	0.8298	76.94
2910.png	0.3412	0.5088	42.50
3076.png	0.6057	0.7544	68.01
3108.png	0.6431	0.7828	71.30
3122.png	0.7040	0.8263	76.51
3354.png	0.7185	0.8362	77.74
3611.png	0.4209	0.5924	50.66
3773.png	0.8050	0.8920	84.85
3854.png	0.8413	0.9138	87.76
3877.png	0.5191	0.6834	60.13
4223.png	0.4433	0.6143	52.88
4594.png	0.6973	0.8217	75.95
4611.png	0.3148	0.4789	39.69
4787.png	0.8650	0.9276	89.63
4792.png	0.5165	0.6812	59.89
4848.png	0.7540	0.8597	80.69
4877.png	0.5102	0.6757	59.30
4900.png	0.6665	0.7999	73.32
4909.png	0.7846	0.8793	83.19
4923.png	0.5701	0.7262	64.82
5050.png	0.0000	0.0000	0.00
5358.png	0.3620	0.5316	44.68
5367.png	0.4130	0.5845	49.88
5393.png	0.8551	0.9219	88.85
5515.png	0.6984	0.8224	76.04
5749.png	0.3004	0.4620	38.12
5858.png	0.4405	0.6116	52.61
6043.png	0.6124	0.7596	68.60
6056.png	0.6439	0.7834	71.37
6395.png	0.7979	0.8876	84.27
6525.png	0.7558	0.8609	80.83
6631.png	0.7900	0.8827	83.64
6779.png	0.5756	0.7307	65.32
0442.png	0.7919	0.8839	83.79
0516.png	0.0425	0.0816	6.21
0634.png	0.0000	0.0000	0.00
0884.png	0.4134	0.5850	49.92
0891.png	0.7251	0.8406	78.29
1625.png	0.0000	0.0000	0.00
1630.png	0.0000	0.0000	0.00
2622.png	0.6475	0.7861	71.68
2762.png	0.8022	0.8902	84.62
2867.png	0.4483	0.6190	53.37
2873.png	0.6147	0.7614	68.81
3619.png	0.6774	0.8077	74.26
3759.png	0.5460	0.7063	62.61
3848.png	0.9158	0.9560	93.59
4063.png	0.3292	0.4953	41.22
4123.png	0.7669	0.8681	81.75
4136.png	0.0000	0.0000	0.00
4137.png	0.4303	0.6017	51.60
4215.png	0.4522	0.6228	53.75
4533.png	0.6306	0.7734	70.20
5086.png	0.4803	0.6489	56.46
5204.png	0.8873	0.9403	91.38
5211.png	0.8820	0.9373	90.96
5462.png	0.3700	0.5402	45.51
5496.png	0.4570	0.6273	54.22
5614.png	0.2568	0.4086	33.27
5740.png	0.8297	0.9069	86.83
5754.png	0.6769	0.8073	74.21
5850.png	0.5616	0.7193	64.04
5851.png	0.7436	0.8530	79.83
6060.png	0.7394	0.8502	79.48
6080.png	0.4636	0.6335	54.86
6202.png	0.0000	0.0000	0.00
6203.png	0.6025	0.7519	67.72
6342.png	0.3425	0.5103	42.64
6343.png	0.7177	0.8356	77.66
6389.png	0.6522	0.7895	72.08
6747.png	0.6764	0.8070	74.17
7238.png	0.7486	0.8562	80.24
0212.png	0.4435	0.6145	52.90
0224.png	0.1859	0.3135	24.97
0365.png	0.4289	0.6004	51.47
0370.png	0.0000	0.0000	0.00
0521.png	0.4389	0.6100	52.45
0635.png	0.5048	0.6710	58.79
0846.png	0.1784	0.3028	24.06
0870.png	0.1799	0.3049	24.24
1089.png	0.0000	0.0000	0.00
1103.png	0.0000	0.0000	0.00
1217.png	0.0000	0.0000	0.00
1446.png	0.0000	0.0000	0.00
1453.png	0.0000	0.0000	0.00
